code;name
H15-H22;Болезни склеры, роговицы, радужной оболочки и цилиарного тела
H25-H28;Болезни хрусталика
H30-H36;Болезни сосудистой оболочки и сетчатки
H40-H42;Глаукома
H43-H45;Болезни стекловидного тела и глазного яблока
H49-H52;Болезни мышц глаза, нарушения содружественного движения глаз, аккомодации и рефракции
H60-H62;Болезни наружного уха
H65-H75;Болезни среднего уха и сосцевидного отростка
H80-H83;Болезни внутреннего уха
H90-H95;Другие болезни уха
I05-I09;Хронические ревматические болезни сердца
I10-I15;Болезни, характеризующиеся повышенным кровяным давлением
I20-I25;Ишемическая болезнь сердца
I26-I28;Легочное сердце и нарушения легочного кровообращения
I30-I52;Другие болезни сердца
I60-I69;Цереброваскулярные болезни
I70-I79;Болезни артерий, артериол и капилляров
I80-I89;Болезни вен, лимфатических сосудов и лимфатических узлов, не классифицированные в других рубриках
I95-I99;Другие и неуточненные болезни системы кровообращения
J00-J06;Острые респираторные инфекции верхних дыхательных путей
J09;Грипп, вызванный определенным идентифицированным вирусом гриппа
J10-J18;Грипп и пневмония
J20-J22;Другие острые респираторные инфекции нижних дыхательных путей
J30-J39;Другие болезни верхних дыхательных путей
J40-J47;Хронические болезни нижних дыхательных путей
J60-J70;Болезни легкого, вызванные внешними агентами
J80-J84;Другие респираторные болезни, поражающие главным образом интерстициальную ткань
J85-J86;Гнойные и некротические состояния нижних дыхательных путей
J95-J99;Другие болезни органов дыхания
K00-K14;Болезни полости рта, слюнных желез и челюстей
K20-K31;Болезни пищевода, желудка и двенадцатиперстной кишки
K35-K38;Болезни аппендикса [червеобразного отростка]
K40-K46;Грыжи
K50-K52;Неинфекционный энтерит и колит
K55-K63;Другие болезни кишечника
K64;Геморрой и перианальный венозный тромбоз
K70-K77;Болезни печени
K80-K87;Болезни желчного пузыря, желчевыводящих путей и поджелудочной железы
K90-K93;Другие болезни органов пищеварения
L00-L08;Инфекции кожи и подкожной клетчатки
L10-L14;Буллезные нарушения
L20-L30;Дерматит и экзема
L40-L45;Папулосквамозные нарушения
L50-L54;Крапивница и эритема
L55-L59;Болезни кожи и подкожной клетчатки, связанные с воздействием излучения
L60-L75;Болезни придатков кожи
L80-L99;Другие болезни кожи и подкожной клетчатки
M00-M25;Артропатии
M30-M36;Системные поражения соединительной ткани
M40-M54;Дорсопатии
M60-M79;Болезни мягких тканей
M80-M94;Остеопатии и хондропатии
M95-M99;Другие нарушения костно-мышечной системы и соединительной ткани
N00-N08;Гломерулярные болезни
N10-N16;Тубулоинтерстициальные болезни почек
N17-N19;Почечная недостаточность
N20-N23;Мочекаменная болезнь
N25-N29;Другие болезни почки и мочеточника
N30-N39;Другие болезни мочевой системы
N40-N51;Болезни мужских половых органов
N60-N64;Болезни молочной железы
N70-N77;Воспалительные болезни женских тазовых органов
N80-N98;Невоспалительные болезни женских половых органов
N99;Нарушения мочеполовой системы после медицинских процедур, не классифицированные в других рубриках
O00-O08;Беременность с абортивным исходом
O10-O16;Отеки, протеинурия и гипертензивные расстройства во время беременности, родов и в послеродовом периоде
O20-O29;Другие болезни матери, связанные преимущественно с беременностью
O30-O48;Медицинская помощь матери в связи с состоянием плода, амниотической полости и возможными трудностями родоразрешения
O60-O75;Осложнения родов и родоразрешения
O80-O84;Родоразрешение
O85-O92;Осложнения, связанные преимущественно с послеродовым периодом
O95-O99;Другие акушерские состояния, не классифицированные в других рубриках
P05-P08;Расстройства, связанные с продолжительностью беременности и ростом плода
P20-P29;Дыхательные и сердечно-сосудистые нарушения, характерные для перинатального периода
P35-P39;Инфекционные болезни, специфичные для перинатального периода
P50-P61;Геморрагические и гематологические нарушения у плода и новорожденного
P90-P96;Другие нарушения, возникающие в перинатальном периоде
Q10-Q18;Врожденные аномалии [пороки развития] глаза, уха, лица и шеи
Q20-Q28;Врожденные аномалии [пороки развития] системы кровообращения
Q38-Q45;Другие врожденные аномалии [пороки развития] органов пищеварения
Q60-Q64;Врожденные аномалии [пороки развития] мочевой системы
Q65-Q79;Врожденные аномалии [пороки развития] и деформации костно-мышечной системы
Q80-Q89;Другие врожденные аномалии [пороки развития]
R00-R09;Симптомы и признаки, относящиеся к системам кровообращения и дыхания
R10-R19;Симптомы и признаки, относящиеся к системе пищеварения и брюшной полости
R30-R39;Симптомы и признаки, относящиеся к мочевой системе
R50-R69;Общие симптомы и признаки
R70-R79;Отклонения от нормы, выявленные при исследовании крови, при отсутствии установленного диагноза
S00-S09;Травмы головы
S10-S19;Травмы шеи
S20-S29;Травмы грудной клетки
S30-S39;Травмы живота, нижней части спины, поясничного отдела позвоночника и таза
S40-S49;Травмы плечевого пояса и плеча
S50-S59;Травмы локтя и предплечья
S60-S69;Травмы запястья и кисти
S70-S79;Травмы области тазобедренного сустава и бедра
S80-S89;Травмы колена и голени
S90-S99;Травмы области голеностопного сустава и стопы
T00-T07;Травмы, захватывающие несколько областей тела
T08-T14;Травмы неуточненной части туловища, конечности или области тела
T15-T19;Последствия проникновения инородного тела через естественные отверстия
T20-T32;Термические и химические ожоги
T33-T35;Отморожение
T36-T50;Отравление лекарственными средствами, медикаментами и биологическими веществами
T51-T65;Токсическое действие веществ, преимущественно немедицинского назначения
T66-T78;Другие и неуточненные эффекты воздействия внешних причин
T80-T88;Осложнения хирургических и терапевтических вмешательств, не классифицированные в других рубриках
T90-T98;Последствия травм, отравлений и других воздействий внешних причин
W00-X59;Другие внешние причины травм при несчастных случаях
Y40-Y84;Осложнения терапевтических и хирургических вмешательств
Z00-Z13;Обращения в учреждения здравоохранения для медицинского осмотра и обследования
Z20-Z29;Потенциальная опасность для здоровья, связанная с инфекционными болезнями
Z30-Z39;Обращения в учреждения здравоохранения в связи с обстоятельствами, относящимися к репродуктивной функции
Z40-Z54;Обращения в учреждения здравоохранения в связи с необходимостью проведения специфических процедур и получения медицинской помощи
Z55-Z65;Потенциальная опасность для здоровья, связанная с социально-экономическими и психосоциальными обстоятельствами
Z70-Z76;Обращения в учреждения здравоохранения в связи с другими обстоятельствами
Z80-Z99;Потенциальная опасность для здоровья, связанная с личным и семейным анамнезом и определенными состояниями, влияющими на здоровье
